"ngram","document_abstract_id"
"aerodynamic model",206300800002
"control loop",206300800002
"dfig wind turbine",206300800002
"droop controller",206300800002
"dynamic model",206300800002
"electrical model",206300800002
"feed induction generator",206300800002
"frequency controller",206300800002
"frequency deviation",206300800002
"frequency regulation",206300800002
"frequency response",206300800002
"generator torque",206300800002
"primary response",206300800002
"secondary response",206300800002
"set point",206300800002
"structural model",206300800002
"wind turbine",206300800002
"appropriate interface",206300800003
"distribute energy resource",206300800003
"electricity cost",206300800003
"electricity system",206300800003
"energy efficiency",206300800003
"environmental concern",206300800003
"grow pressure",206300800003
"market actor",206300800003
"more electricity",206300800003
"overarching structure",206300800003
"power flow algorithm",206300800003
"power system",206300800003
"primary vehicle",206300800003
"system efficiency",206300800003
"system operator",206300800003
"technical functionality",206300800003
"virtual power plant",206300800003
"clean energy source",206300800006
"electricity distribution system",206300800006
"generation datum",206300800006
"grow imperative",206300800006
"load datum",206300800006
"minute interval",206300800006
"network power",206300800006
"photovoltaic generator",206300800006
"simulation framework",206300800006
"technical impact",206300800006
"typical network",206300800006
"urban distribution network",206300800006
"voltage rise",206300800006
"behaviour analysis",206342900005
"constant constant",206342900005
"damp constant",206342900005
"drive train",206342900005
"drive train model",206342900005
"lump model",206342900005
"near future",206342900005
"power level",206342900005
"power system",206342900005
"precise analysis",206342900005
"reduce order model",206342900005
"simulation analysis",206342900005
"stability simulation",206342900005
"sufficient accuracy",206342900005
"symmetrical fault",206342900005
"three-mass model",206342900005
"train model",206342900005
"transformation procedure",206342900005
"transient analysis",206342900005
"transient behaviour",206342900005
"transient simulation",206342900005
"transient stability",206342900005
"transient stability analysis",206342900005
"two-mass drive train model",206342900005
"two-mass model",206342900005
"wind generator",206342900005
"wind level",206342900005
"wind turbine generator system",206342900005
"wind turbine system",206342900005
"control scheme",206343000005
"dc-link voltage",206343000005
"low-voltage ride-through capability",206343000005
"permanent magnet synchronous generator",206343000005
"stability analysis",206343000005
"voltage dip",206343000005
"wind turbine",206343000005
"antioxidant content",207287000003
"fatty acid",207287000003
"insoluble formation",207287000003
"largest impact",207287000003
"metal content",207287000003
"nationwide survey",207287000003
"petroleum diesel",207287000003
"polyunsaturated content",207287000003
"quality survey",207287000003
"united states",207287000003
"waste oils",207287000003
"additional theory",207287000004
"adiabatic flame temperature",207287000004
"bond molecule",207287000004
"bulk modulus",207287000004
"derive diesel",207287000004
"diesel engine",207287000004
"diesel fuel",207287000004
"diminish fuel",207287000004
"domestic source",207287000004
"double molecule",207287000004
"foreign source",207287000004
"injection timing",207287000004
"lifecycle greenhouse gas emission",207287000004
"more molecule",207287000004
"natural source",207287000004
"nitrogen oxide",207287000004
"numerical simulation",207287000004
"petroleum derive fuel",207287000004
"petroleum diesel",207287000004
"zeldovich mechanism",207287000004
"alternative fuel",207287000005
"ambient air",207287000005
"animal fat",207287000005
"complex process",207287000005
